time,altitude,latitude,longitude,air_rh_avg,air_t_avg,wind_dir,wind_speed_avg,wind_speed_max
2019-09-04 00:00,2360,46.695578,10.648088,50.17,8.57,97,0.369,0.48
2019-09-04 00:15,2360,46.695578,10.648088,49.97,8.49,111,0.369,0.53
2019-09-04 00:30,2360,46.695578,10.648088,49.93,8.37,97,0.361,0.46
2019-09-04 00:45,2360,46.695578,10.648088,48.44,8.33,145,0.389,0.48
2019-09-04 01:00,2360,46.695578,10.648088,48.41,8.25,98,0.431,1.04
2019-09-04 01:15,2360,46.695578,10.648088,49.01,8.38,124,0.387,0.48
2019-09-04 01:30,2360,46.695578,10.648088,41.52,8.73,108,0.804,1.26
2019-09-04 01:45,2360,46.695578,10.648088,40.77,8.65,109,0.436,0.73
2019-09-04 02:00,2360,46.695578,10.648088,43.57,8.74,89,0.438,0.7
2019-09-04 02:15,2360,46.695578,10.648088,45.98,8.36,142,0.437,0.69
2019-09-04 02:30,2360,46.695578,10.648088,44.97,8.07,111,0.338,0.49
2019-09-04 02:45,2360,46.695578,10.648088,44.21,7.966,119,0.316,0.45
2019-09-04 03:00,2360,46.695578,10.648088,43.82,7.955,104,0.336,0.45
2019-09-04 03:15,2360,46.695578,10.648088,45.24,7.885,99,0.37,0.49
2019-09-04 03:30,2360,46.695578,10.648088,47.45,7.893,102,0.468,0.57
2019-09-04 03:45,2360,46.695578,10.648088,40.81,8.58,100,0.701,1.28
2019-09-04 04:00,2360,46.695578,10.648088,39.8,9.3,87,1.313,1.9
2019-09-04 04:15,2360,46.695578,10.648088,39.93,9.21,98,0.873,2.12
2019-09-04 04:30,2360,46.695578,10.648088,41.01,8.77,96,0.437,0.67
2019-09-04 04:45,2360,46.695578,10.648088,40.36,8.7,126,0.478,0.84
2019-09-04 05:00,2360,46.695578,10.648088,41.5,8.55,116,0.317,0.51
2019-09-04 05:15,2360,46.695578,10.648088,42.33,8.36,126,0.349,0.53
2019-09-04 05:30,2360,46.695578,10.648088,43.26,8.04,116,,0.56
2019-09-04 05:45,2360,46.695578,10.648088,41.32,8.28,113,0.366,0.44
2019-09-04 06:00,2360,46.695578,10.648088,41.03,8.35,104,0.405,0.5
2019-09-04 06:15,2360,46.695578,10.648088,40.96,8.44,98,0.307,0.41
2019-09-04 06:30,2360,46.695578,10.648088,42.5,8.3,114,0.331,0.53
2019-09-04 06:45,2360,46.695578,10.648088,43.5,8.11,85,0.407,0.96
2019-09-04 07:00,2360,46.695578,10.648088,41.97,8.47,95,0.646,1.75
2019-09-04 07:15,2360,46.695578,10.648088,36.91,9.57,119,0.827,1.9
2019-09-04 07:30,2360,46.695578,10.648088,40.36,9.06,98,0.332,0.75
2019-09-04 07:45,2360,46.695578,10.648088,43.46,8.27,105,0.289,0.43
2019-09-04 08:00,2360,46.695578,10.648088,42.8,8.21,90,0.327,0.51
2019-09-04 08:15,2360,46.695578,10.648088,41.36,8.45,121,0.293,0.45
2019-09-04 08:30,2360,46.695578,10.648088,40.64,8.63,125,0.277,0.37
2019-09-04 08:45,2360,46.695578,10.648088,40.2,9.13,125,0.343,0.8
2019-09-04 09:00,2360,46.695578,10.648088,37.4,10.26,105,0.232,0.34
2019-09-04 09:15,2360,46.695578,10.648088,37.27,10.69,139,0.447,0.65
2019-09-04 09:30,2360,46.695578,10.648088,39.72,10.95,240,0.205,0.74
2019-09-04 09:45,2360,46.695578,10.648088,39.66,11.35,196,0.339,0.73
2019-09-04 10:00,2360,46.695578,10.648088,40.19,12.03,269,0.422,0.96
2019-09-04 10:15,2360,46.695578,10.648088,39.36,12.4,257,0.579,1.01
2019-09-04 10:30,2360,46.695578,10.648088,42.3,12.31,272,0.943,1.69
2019-09-04 10:45,2360,46.695578,10.648088,46.12,12.3,163,1.107,1.76
2019-09-04 11:00,2360,46.695578,10.648088,42.35,12.71,246,1.455,2.19
2019-09-04 11:15,2360,46.695578,10.648088,37.15,13.32,252,1.408,2.13
2019-09-04 11:30,2360,46.695578,10.648088,36.42,13.81,263,1.435,2.38
2019-09-04 11:45,2360,46.695578,10.648088,39.5,14.02,279,1.335,2.33
2019-09-04 12:00,2360,46.695578,10.648088,45.84,14.17,272,1.178,1.98
2019-09-04 12:15,2360,46.695578,10.648088,47.95,14.59,280,1.322,2.33
2019-09-04 12:30,2360,46.695578,10.648088,46.21,14.42,272,1.369,2.34
2019-09-04 12:45,2360,46.695578,10.648088,48.1,14.67,281,1.562,2.53
2019-09-04 13:00,2360,46.695578,10.648088,55.12,14.9,252,1.587,2.22
2019-09-04 13:15,2360,46.695578,10.648088,55.77,14.59,279,1.781,2.73
2019-09-04 13:30,2360,46.695578,10.648088,60.84,14.43,258,1.402,2.16
2019-09-04 13:45,2360,46.695578,10.648088,62.72,14.37,282,1.424,2.18
2019-09-04 14:00,2360,46.695578,10.648088,62.66,14.35,251,1.565,2.59
2019-09-04 14:15,2360,46.695578,10.648088,60.98,14.45,260,1.357,2.42
2019-09-04 14:30,2360,46.695578,10.648088,60.35,14.32,240,1.306,2.04
2019-09-04 14:45,2360,46.695578,10.648088,63.13,14.12,321,1.476,2.24
2019-09-04 15:00,2360,46.695578,10.648088,66.26,14.03,304,1.453,2.13
2019-09-04 15:15,2360,46.695578,10.648088,66.65,13.82,272,1.445,2.6
2019-09-04 15:30,2360,46.695578,10.648088,66.46,14.02,272,1.619,2.92
2019-09-04 15:45,2360,46.695578,10.648088,68.25,13.79,313,1.701,2.55
2019-09-04 16:00,2360,46.695578,10.648088,69.54,13.9,305,1.531,2.95
2019-09-04 16:15,2360,46.695578,10.648088,67.95,14.36,317,1.743,3.02
2019-09-04 16:30,2360,46.695578,10.648088,67.63,14.48,323,1.607,2.86
2019-09-04 16:45,2360,46.695578,10.648088,67.21,14.56,287,1.673,2.37
2019-09-04 17:00,2360,46.695578,10.648088,68.86,14.24,256,1.507,2.23
